news_id	현재제목	현재길이	원제(중)	제안제목	제안길이	사유
334337	경제대성 장쑤, 상하이, 산둥 경제 동향 뉴스	25	经济大省三方向发力 扩能提质服务业	경제 대성의 세 방향에서 힘을 발휘	19	길이초과(25>24), 원제번역과상이
332949	쥬스기업 안더리, 닝보 융창테크 지배권 인수	24	三连板！果汁企业安德利跨界集成电路，拟收购公司去年亏损6696万元	쥬스기업 안더리, 닝보 융창테크 지배권 인수	24	-
334544	PTFE의 대규모 응용 예상	15	券商晨会精华：算力等高频高速需求快速增长	계산력 등 고주파 고속수요 급성장	18	원제번역과상이
332263	1-5월 중국 산업 부가가치 5.4% 증가	23	增长18.2%！前四个月全国规上工业企业利润总额24358亿元	1-5월 중국 산업 부가가치 5.4% 증가	23	-
334474	베이징 중관춘 학원, 8억 위안 스타트업 육성 자금 조달	31	活力中国调研行丨科创高地涌动澎湃“微力量”	활력 있는 중국 조사 행동丨과학기술 혁신	22	길이초과(31>24), 원제번역과상이
333468	중국 최초 개인 파산 청산 사건 확정	20	壹快评｜全国首个破产人获“经济新生”，个人破产制度值得进一步探索6128昨天 22:33	쾌속평가｜전국 최초의 파산자가 "경제	20	원제번역과상이
333169	16일 상하이 지수 0.11% 하락, 전자 섹터 창업판 지수 상승 주도	39	三大宏观扰动"落而未定"，基金经理：科技板块AI主线未见松动54856分钟前	54856분 전 완화되지 않았다.	18	길이초과(39>24), 원제번역과상이
333281	중국통계국, 5월 통계 발표	15	中国经济新旧动能转换加速，AI对制造业带动效应增强	중국 경제의 신구 동력 전환이 가속화되면서	23	원제번역과상이
332779	메이디 그룹, 자회사 안더즈롄의 홍콩 IPO 추진 승인	30	美的集团分拆子公司至香港联交所主板上市	메이디 그룹이 자회사를 분할하여 홍콩	20	길이초과(30>24), 원제번역과상이
333286	7월 1일부터 EU, 소형 소포 관세 면제 정책 철회	29	小包裹出海时代将结束，跨境电商面临关税提升大考45471小时前	관세인상 시험 앞두고 45471시간 전	21	길이초과(29>24), 원제번역과상이
332955	톈디위안, 시안가오커 부동산 자산 2246억 위안 매각 계획	33	房开拖累业绩，十几家上市公司已宣布摘除地产业务75231小时前	십여 개의 상장 회사가 이미 부동산 업무	22	길이초과(33>24), 원제번역과상이
333163	B2B 크로스보더 무역 결제 플랫폼 XTransfer 창립자 덩궈찌 인터뷰	41	金融出海｜XTransfer邓国标：“两步走”破解“汇困”难题，打造端到端的全球B2B跨境支付基础设	엔드 투 엔드 글로벌 B2B 크로스보더	21	길이초과(41>24), 원제번역과상이
333052	PCB 산업 체인 선두 기업 매출 100% 이상 증가	29	【明日主题前瞻】AI硬件迭代推动PCB价值量攀升，产业链龙头公司营收增速明显抬升	【내일 테마 미래 전망】AI 하드웨어	20	길이초과(29>24), 원제번역과상이
332123	중신건투 등 4개 REITs 상장	18	“长线资金”抢筹！首批新品定档上市，REITs行情何时修复？	중신건투 등 4개 REITs 상장	18	-
332759	전자상거래 유령배달 등 7플랫폼 행정처벌	22	市场监管总局：创新智慧监管模式 严查线上虚假门店	시장감독총국: 혁신적인 스마트 감독 모델	22	원제번역과상이
332897	NBS, 1~5월 중국 부가가치 5.4% 증가	25	前5个月国民经济延续总体平稳、向新向优发展态势	지난 5개월 동안 국민 경제는 총체적	20	길이초과(25>24), 원제번역과상이
332014	중국 증시 일제히 반등, 상해 지수 1.61% 상승	28	美伊大消息，纳指大涨超3%；两家芯片龙头企业IPO同日过会丨盘前情报	나스닥 지수가 3% 이상 급등	16	길이초과(28>24), 원제번역과상이
330350	심련집성, 200억 위안 차량용 칩 제조 프로젝트 시작	30	芯联集成总投资200亿的12英寸芯片项目四期将启动，市场在担忧什么？	심련집성, 200억 위안 차량용 칩 제조	22	길이초과(30>24), 원제번역과상이
330463	천순풍능 경산과 종샹 프로젝트의 연결 성공	23	天顺风能：湖北京山、钟祥风电项目并网发电	천순풍에너지: 후베이징산	13	원제번역과상이
330714	련아제약,  48개 자체 개발 제품이 FDA 승인	27	货币资金近11亿元、资产负债率仅12.37%，联亚药业IPO募资补流合理性存疑	화폐 자금은 약 11억 위안	15	길이초과(27>24), 원제번역과상이
332163	육상망 투자 7조 위안 추진	15	又一万亿级投资周期开启！“算”出我国数字经济新底座	육상망 투자 7조 위안 추진	15	-
331793	전자 특수가스 운송 수요 급증	16	热门产品“一天一个价” “半导体血液”生产企业爆单	히트상품 하루 1가 반도체 혈액업체 주문	22	원제번역과상이
331991	6월 15일, '광물자원법 시행 조례' 정식 시행	27	机构全面看好AI赋能的锡稀土钨钼 稀土板块有望演绎估值业绩双升	기관은 AI가 지원하는 주석 희토류 텅스텐	23	길이초과(27>24), 원제번역과상이
329451	산터우, 중국이동 AIoT 플랫폼 통해 AI 장난감 양산 실현	34	3周量产、词元出海：汕头AI玩具如何撬动全球算力服务？	산터우, 중국이동 AIoT 플랫폼 통해	21	길이초과(34>24), 원제번역과상이
332115	국가 통계국 통계 발표, 첨단 제조업 부가가치 15.1% 증가	34	国家统计局：5月份国民经济运行总体平稳、向新向优126129分钟前	NBS: 5월 국민경제 운영은 전반적	20	길이초과(34>24), 원제번역과상이
330687	 거래소의 익일 환매조건부채권 금리가 1.5% 돌파	28	流动性收紧结束了吗？交易所隔夜利率升破1.5%44851小时前	거래소의 익일 환매조건부채권 금리	18	길이초과(28>24), 원제번역과상이
331896	NBS, 70개 도시 주택 가격 보고서 발표	24	市场监管总局约谈山姆总部；两家芯片龙头企业IPO同日过会｜21早新闻	시장감독총국이 샘 본사를 면담하다	18	원제번역과상이
331911	국가철도, 1-5월 하루 평균 적재량 18만대	25	多维度数据折射经济运行保持向好态势	다차원 데이터는 경제 운행이 양호한 추세	22	길이초과(25>24), 원제번역과상이
332010	헝상절능, 금승전자 인수	13	功率半导体，再度涨价（附股）	파워반도체, 또 가격인상	13	원제번역과상이
332231	1-5월 중국 고정자산 투자 4.1% 감소	23	投资增速降幅扩大，国家统计局最新回应23分钟前	NBS 최신 대응 23분 전	15	원제번역과상이
331792	6대 네트워크 투자 7조 위안  추진	20	又一万亿级投资周期开启！“算”出我国数字经济新底座	6대 네트워크 투자 7조 위안  추진	20	-
330688	쑤이위안테크, 상장예비심사 통과	17	燧原科技“豪华朋友圈”：与腾讯深度绑定，国家产投基金、沪浙国资加持485734分钟前	쑤이위안테크, 상장예비심사 통과	17	-
330344	이팡다 가치 ETF 거래대금, 전 거래일 대비 277% 증가	33	【数据看盘】多只通信ETF上周份额大增，IM期指空头大幅减仓	【데이터 시장 조사】여러 통신 ETF	20	길이초과(33>24), 원제번역과상이
330570	15일 중국 본토 주식 3대 지수 1.61%~5.30% 상승	33	科技行情又起，A股强势反弹，多家基金公司一线解读	15일 중국 본토 주식 3대 지수 1.61%~5.30% 상승	33	길이초과(33>24)
330716	베이징, 스마트 홈 보조금 방안 발표 계획	23	北京市消费品以旧换新将纳入智能家居产品（含适老化产品）	베이징시 소비재 교체는 스마트홈 제품(노인	23	원제번역과상이
329926	중핵그룹 핵산업 이화공정연구원, 실리콘-28 양산 성공	30	中国“纯硅”成功突破！我国攻克硅基量子芯片关键材料	실리콘-28 양산 성공	12	길이초과(30>24), 원제번역과상이
330681	성다 자원 자오만탕, 정보 공개 위법 혐의로 조사	27	6月15日晚间公告集锦|亿纬锂能上半年净利润预增95%-110%，盛达资源被证监会立案，上海亚虹控股	6월 15일 저녁 공고 모음 | 억위리튬에너지의 상반기 순이익	34	길이초과(27>24), 원제번역과상이
330682	중커우항 리젠 1호, 8위성 발사 성공	21	一箭八星成功，中国民营火箭交出规模化成绩单	일거에 성공, 중민영로켓 규모화 성적표 내놔	24	원제번역과상이
329558	인민은행, 6천억 위안 환매조건부채권 매입 예정	26	美伊已达成和平协议；国产GPU“四小龙”燧原科技IPO上会｜21早新闻	미국과 이란이 평화 협정을 체결했습니다	21	길이초과(26>24), 원제번역과상이
329911	미국의 앤트로픽 수출 규제에 중국 AI 대장주 급등…즈푸(智谱), 장중 47% 폭등	46	Anthropic旗舰模型遭美管制，智谱股价盘中暴涨47%	앤트로픽 플래그십 모델 미규제 받아 지보주	23	길이초과(46>24), 원제번역과상이
329912	3대 통신사 5G 가입자 수 12억 명 돌파	24	浙江联通今日起全面关停3G网络，三大运营商5G用户数突破12亿	저장 유니콤 오늘부터 3G 네트워크 전면	22	원제번역과상이
329672	사상 최대 IPO로 떠오른 SpaceX…A주 상업우주항공·우주 AI 밸류체인 재평가 기대	49	全球史上最大IPO落地，A股哪些板块能借势“上天”？	사상 최대 IPO로 떠오른 SpaceX…A주 상업우주항공·우주	34	길이초과(49>24), 원제번역과상이
330267	창업판 지수는 5.3% 상승 마감, 양 시장의 거래액은 3조 300억 위안입니다.	45	股市三点钟丨创业板指收涨5.3%，两市成交额3.03万亿元	주식시장 3시丨창업판 지수는 5.3% 상승	23	길이초과(45>24), 원제번역과상이
329984	홍콩, 첫 5개년 발전계획 공개 의견수렴…중국 기업의 해외 진출 거점 기능 강화 추진	47	香港首份五年规划展开公众咨询：拟提升香港作为内地企业首选出海平台的功能	홍콩의 첫 5개년 계획에 대한 대중 자문	22	길이초과(47>24), 원제번역과상이
329902	중국 증시, 기술주 중심 강세…PCB·MLCC 등 AI 하드웨어 섹터 급등	41	创业板指半日涨超3.5%，PCB、MLCC等AI硬件细分领涨	창업판 지수가 반나절 만에 3.5% 이상	22	길이초과(41>24), 원제번역과상이
330334	AI 하드웨어·희소금속 동반 강세…상하이종합지수 6거래일 연속 상승	37	【焦点复盘】硬科技、小金属携手发力，沪指日线6连阳收复20日均线，全市场超280股涨逾10%	【초점 회복】하드 테크놀로지와 소금속이 힘	23	길이초과(37>24), 원제번역과상이
329561	콜레리디와 융다, 주식 청약 및 상장 진행	23	放疗定位第一股今日申购，“三桶油”供应商上市丨打新早知道	방사선 치료 포지셔닝 첫 주식 오늘	19	원제번역과상이
329784	2030년 신재생 중형 트럭 보유량 160만 대 목표	29	多部门推动新能源重卡应用，利好动力电池与氢能产业	다부처가 신에너지 중형 트럭의 응용	19	길이초과(29>24), 원제번역과상이
329610	디지털 직원 30만 대화 분석 돌파	19	探班“AI搭子”｜被数字员工“抢”走30%工作量，这里的客服在忙啥？	디지털 직원 30만 대화 분석 돌파	19	-
329679	16개 돼지 사육 기업, 총 1,477만 마리 판매	28	【读财报】5月猪价止跌：上市猪企销量增长4% 金新农、罗牛山销量增速居前	【재무 보고서 읽기】5월 돼지고기 가격	21	길이초과(28>24), 원제번역과상이
329666	중국 부동산 시장 안정화, 4월 일선 도시 주택 거래량 15% 증가	37	经济日报头版头条：房地产市场筑底回稳态势增强	경제일보 1면 머리기사: 부동산시장 바닥	22	길이초과(37>24), 원제번역과상이
329761	차세대 전력반도체 연구 등 슈퍼혁신경제 프로젝트 22억 위안 투입	36	存储之后韩国瞄准功率半导体 拟投超5000亿韩元重塑产业链	메모리 이후 파워반도체 겨냥 5000억	21	길이초과(36>24), 원제번역과상이
329763	9개 산업 에너지 절약 개조 2026년부터 시행	26	国家发展改革委等五部门：开展重点行业节能降碳改造攻坚三年行动	국가발전개혁위원회 등 5개 부처: 중점	21	길이초과(26>24), 원제번역과상이
327997	장신테크 IPO 등록 발효, 295억 위안 모집계획	28	长鑫科技上市在即：撑起3万亿产业链，券商险资多路入局9511小时前	장신테크놀로지의 상장 임박: 3조 산업	21	길이초과(28>24), 원제번역과상이
327723	중국 독자 개발 해양 용접 로봇 시스템 운영 시작	27	我��首批自研海洋工程柔性智能焊接机器人投用	나는 첫 번째로 자체 개발한 해양공정 유연	23	길이초과(27>24), 원제번역과상이
327875	신성홀딩스 1-5월 누적 계약판매 54억 위안	25	每周债市看点 | 融侨集团涉及多项诉讼及债务提前到期事项，天盈投资“H20天盈2”违约	매주 채권시장 볼거리 | 융교그룹은 여러	22	길이초과(25>24), 원제번역과상이
328106	지난주 중국 증시, 상하이 0.1% 상승 선전 2.3% 하락	33	最牛股富信科技年内股价涨近200%；三只退市股单日跌超90%丨透视一周牛熊股	가장 유망한 주식인 부신테크놀로지는 올해	22	길이초과(33>24), 원제번역과상이
328285	웨신 반도체 IPO 6월 심의 예정	19	粤芯半导体明日上会 近3年累亏超65亿	웨신반도체, 내일 상장 3년 만에 65억	22	원제번역과상이
328489	라플라스, 22억 위안 자금 조달 계획 발표	24	行业调整期加码产能 拉普拉斯定增22亿元押注光伏与半导体赛道	업계 조정기에 생산 능력을 늘린 라플라스	22	원제번역과상이
324059	국무원, 77만km 지하관망 건설 5조 투자 유도	27	未来五年，投资五万亿元升级这张网	향후 5년간	6	길이초과(27>24), 원제번역과상이
327315	휴머노이드 로봇 가격 72% 하락	18	“白菜价”的人形机器人，没法进厂“打螺丝”	배추값 휴머노이드, 공장에 못들어와 나사못	23	원제번역과상이
325127	왕신빤 등 6부처, 금융정보 데이터 분류 지침 발표	28	《金融信息服务数据分类分级指南》印发	《금융정보서비스 데이터 분류 등급 지침》발행	24	길이초과(28>24), 원제번역과상이
323116	선전시, 기업 디지털 전환 평가 실시	20	市工业和信息化局关于组织规上工业企业开展制造业数字化转型通用评估的通知	시 공업정보화국의 규모 이상의 공업기업	21	원제번역과상이
327883	홍콩 인터넷지수, '9·24 랠리' 출발점으로 회귀…AI가 새로운 성장동력 될까	44	港股互联网指数回到“9.24”起点，行业走向何处？108715小时前	홍콩 인터넷지수, '9·24 랠리'	19	길이초과(44>24), 원제번역과상이
327211	상하이거래소, 커촹판 실적 개선 확인…재융자 완화와 회계부정 엄단 신호 동시 발신	45	科创板Q1盈利加速改善，上交所新一期《科创板监管直通车》还透露哪些关键信号？	상하이거래소, 커촹판 실적 개선 확인…재융자 완화와 회계부정	33	길이초과(45>24), 원제번역과상이
327025	중국 60세 이상 인구 3억 2천만명 돌파	23	经济日报金观平：持续积累释放人力资源红利	경제일보 김관평: 인적자원 배당금	18	원제번역과상이
321607	시카고 상품 거래소, 컴퓨팅 파워 선물 출시	24	推出算力期货，存在哪些痛点？	시카고 상품 거래소	10	원제번역과상이
324401	중기협, 공모펀드 투자 스타일 지침 발표	22	规范公募基金主题投资风格指引落地，设1年整改过渡期	1년의 시정 과도기를 설정한다.	17	원제번역과상이
327036	금융부처 6개 기관, 금융데이터 표준화 지침 발표	27	【新华解读】六部门联手划定“标尺” 金融信息服务迈入数据“分级管理”时代	금융부처 6개 기관	10	길이초과(27>24), 원제번역과상이
321611	국무원, 과학기술 강국 목표 15년 계획 통과	25	国常会部署科技强国建设	국무원 상무 회의에서 과학기술 강국 건설	22	길이초과(25>24), 원제번역과상이
324900	과창판 펀드 3900억 위안 초과, 수익률 50% 이상	30	科创板基金规模超3900亿元 机构聚焦AI产业链核心资产	과창판 펀드 규모가 3	12	길이초과(30>24), 원제번역과상이
327210	보루이캉 IPO 신청, 25억 위안 조달 계획	25	博睿康火速披露招股书 强脑科技今年初递表港交所 脑机接口第一股将花落谁家？|行业观察	보루이캉 IPO 신청 25억 위안 조달 계획	24	길이초과(25>24), 원제번역과상이
324721	신에너지 중형트럭 보유량 160만대 초과 계획 발표	28	11部门发文推动新能源重卡应用	11개 부서에서 신에너지 중형 트럭의 응용	23	길이초과(28>24), 원제번역과상이
325137	양매 소동 이후 저장성 양매 도매가 전년 대비 15% 하락	32	浙江杨梅来了：上市初期价格下跌，“泡药”风波影响仍在26871小时前	양매 소동 이후 저장성 양매 도매가 전년	22	길이초과(32>24), 원제번역과상이
325128	아이플라이텍, 스타파이어 X2-VL 모델 발표	25	科大讯飞发布星火多模态大模型X2-VL	아이플라이텍, 스타파이어 멀티모달 대형	21	길이초과(25>24), 원제번역과상이
325118	기술펀드 베테랑 4명 더방펀드 퇴임	19	哪些基金公司挖人猛？调侃指向“易中天”！又一波基金经理变动了	기술펀드 베테랑 4명 더방펀드 퇴임	19	-
325460	중국증권등록결산유한책임회사, 2025년 연례보고서 발표	30	A股投资者已超2.5亿	A주 투자자는 이미 2억 5천만 명	19	길이초과(30>24), 원제번역과상이
325392	상하이 폐막 SEC 전시회, 광저장 융합, 컴퓨팅-전력 협력이 주도	37	深度｜光储融合加速，储能行业告别“卖箱子”时代61038分钟前	상하이 폐막 SEC 전시회	14	길이초과(37>24), 원제번역과상이
324409	12일 항셍지수와 국유기업지수 각각 1.93%와 1.91% 상승	35	港股风向标｜恒指放量反弹短线企稳 地缘利好下AI主线扰动减弱	홍콩 주식 시장의 풍향계｜항셍지수 대량 반	23	길이초과(35>24), 원제번역과상이
324546	동칭마, 중국 사회 융자 조건 완화 중	21	金融支持实体经济力度稳固——解读5月金融数据	동칭마, 중국 사회 융자 조건 완화 중	21	-
324762	중국 산업용 로봇 ‘세계 3대 중 1대는 동관’… 수출 급증 속 글로벌 시장 확산	45	全球每卖3台码垛机1台出自东莞，中国工业机器人全球出圈	전 세계에서 3대 팔릴 때마다 1대씩 동관	23	길이초과(45>24), 원제번역과상이
324899	과창판(科创板) 출범 7주년… 609개 하드테크 기업 집결, 중국 기술자립 핵심 플랫폼으로 성장	53	科创板七周年：硬科技重塑产业版图	과창판 7주년: 하드 테크놀로지가 산업	21	길이초과(53>24), 원제번역과상이
324651	중국 정부채 잔액 사상 첫 100조 위안 돌파… 적극 재정정책 영향	37	官宣！中国政府债券余额首次突破100万亿元12612小时前	중국 정부채 잔액 사상 첫 100조 위안	22	길이초과(37>24), 원제번역과상이
324312	광둥 반도체 산업 급성장 속 '보이지 않는 산업' 부상… 반도체용 클린룸 소모재 국산화 본격화	52	广东半导体“狂飙”背后：“看不见”的清洁耗材悄然崛起，国产替代迎来爆发窗口	광둥 반도체 산업 급성장 속 '보이지 않	22	길이초과(52>24), 원제번역과상이
324311	중국 하드테크(硬科技) 슈퍼사이클 진입… 반도체·AI·휴머노이드 로봇 IPO 열풍 확산	48	超级赛道，掀IPO热潮	슈퍼 서킷, IPO 열기	13	길이초과(48>24), 원제번역과상이
324236	SpaceX IPO 2조 달러 돌파	19	SpaceX 2万亿美元市值这一夜，回望中国商业航天十年冷暖	스페이스X 시가총액 2조 달러 그날 밤	21	원제번역과상이
324436	장신테크 IPO 승인, 295억 위안 모집 예정	26	A股放量反弹重回4000点 长鑫IPO落地强化国产存储赛道信心	A주 시장이 거래량 증가로 4000포인트	22	길이초과(26>24), 원제번역과상이
324341	인민은행, 6월 통계 발표	14	金融支持实体经济力度稳固——解读5月金融数据	인민은행, 6월 통계 발표	14	-
324284	국산GPU기업 쑤이위안 IPO 6월 예정	22	硬科技投向标|工信部：加强高端光电芯片和器件研发 燧原科技IPO定于6月15日上会	하드 테크놀로지 투자 지표 | 공업정보화부: 고급 광전자 칩	33	원제번역과상이
324157	앙지항공전력, 2024년 저고도 자회사 설립	24	C919“大脑”供应商入局低空，大飞机基因能吃得开吗？| 国家未来产业地图	앙지항공전력, 2024년 저고도 자회사 설립	24	-
317300	부동산 등기 절차 7가지 개혁 조치 발표	22	五部门：出台多项改革举措 便利企业办理不动产登记	다섯 부처: 기업이 부동산 등기를 편리하게	23	원제번역과상이
322768	창신테크 IPO 295억 모집, 시장점유율 7.67% 증가	32	165天！长鑫科技IPO注册生效 科创板迎来国产DRAM龙头	창신테크 IPO 295억 모집	16	길이초과(32>24), 원제번역과상이
321740	증권사 섹터 1% 상승, 국련민생 시장 조성 자격 승인	30	国联民生连涨！券商“科创属性”迎系统性重估	증권사 섹터 1% 상승	12	길이초과(30>24), 원제번역과상이
322258	베이징시, 100개 이상 고가치 응용장면 모집	25	北京市经济和信息化局关于开展2026年度人形机器人与具身智能实景实训专项行动申报材料征集工作的通知	베이징시 경제정보화국의 2026년도 휴머노	23	길이초과(25>24), 원제번역과상이
322545	통화량 통계 발표, M2 잔액 353조 위안	24	5月金融数据出炉：债券融资占比提升、居民部门继续降杠杆454748分钟前	5월 금융 데이터 발표: 채권 금융 비	21	원제번역과상이
321741	영익지조, 홍콩 증시 상장 심사 통과	20	千亿“果链”巨头闯关港交所：AI业务等风来，低毛利困局待解	천억 "과일 체인" 거대 기업	16	원제번역과상이
323015	GPU 설계기업 목희, 12일 저녁 H주 발행	25	国产GPU龙头沐曦股份筹划赴港上市 布局 “A+H”	국산 GPU 선두주자인 무시 주식회사	20	길이초과(25>24), 원제번역과상이
321629	A주 시장 조정 국면 하 반도체 ETF 6.02% 급등	30	半导体板块ETF逆势连涨 通信赛道持续获资金布局	반도체 섹터 ETF 역풍 속에서도 통신	21	길이초과(30>24), 원제번역과상이
319428	스냅드래곤 8797 플랫폼 기반 리샹 L9 Livis 15만~20만위안	39	AI上车，改变了什么？	스냅드래곤 8797 플랫폼 기반 리샹 L9	23	길이초과(39>24), 원제번역과상이
322424	사오관 컴퓨팅 파워 산업 대회 개최	19	抢滩算力，近千亿投资流向粤北山城18分钟前	선점 계산력, 천억 가까운 투자가 월북산성으로 흘러가기 18분 전	36	원제번역과상이
322227	국무원 상무회의, 차세대 스마트 제조 발전 방향 제시	29	新一代智能制造加速落地 链上企业价值凸显	차세대 스마트 제조 가속 체인에 기업 가치	23	길이초과(29>24), 원제번역과상이
321373	중국, '15·5 규획' 기간 신형 전력망에 5조 위안 투자…10조 위안 시장 열린다	47	10万亿元大市场将至 中国经济“电力满格”	10조 위안 대시장	10	길이초과(47>24), 원제번역과상이
322297	금융감독총국, 상하이 국제금융센터 경쟁력 강화 위한 추가 지원책 검토	38	国家金融监督管理总局：将持续研究优化支持政策，助力上海国际金融中心进一步增强竞争力和影响力	NFRA: 상하이 국제금융센터가 경쟁력	21	길이초과(38>24), 원제번역과상이
321972	SpaceX 사상 최대 IPO 추진…중국 위성산업 밸류에이션 재평가 기대	40	SpaceX冲击史上最大IPO，国内卫星产业链谁在受益？	SpaceX 사상 최대 IPO 추진…중국	22	길이초과(40>24), 원제번역과상이
321614	반도체 ETF 강세 지속, 통신 섹터로 자금 유입 확대	30	半导体板块ETF连涨 通信赛道获资金布局	반도체 섹터 ETF	10	길이초과(30>24), 원제번역과상이
321613	기술주가 A주 변동성 장세를 주도… 기관들 "조정의 기간과 폭은 제한적"	40	科技股引领A股震荡 机构:市场调整的时间和空间均有限	기술주가 A주 변동 기구를 이끌다: 시장	22	길이초과(40>24), 원제번역과상이
320664	10일 제3기 및 제4기 저축 국채 발매	22	纳入个人养老金投资范围后，首批储蓄国债开售冷热不均2470昨天 20:43	첫 번째 저축 국채의 판매는 고르지 않게	22	원제번역과상이
321716	보루이캉 IPO 25억 조달 계획 발표	21	冲刺“脑机接口第一股”！博睿康科创板IPO获得受理 拟融资25亿元	보루이캉 IPO 25억 조달 계획 발표	21	-
321861	국동량자와 아이플라이텍 등 산업 펀드 설립 동향	26	硬科技企业密集设立产业基金	하드테크 기업이 밀집하여 산업 기금	19	길이초과(26>24), 원제번역과상이
321507	군책테크, 홍콩 상장 전 대규모 배당금 지급	24	【看新股】群策科技赴港IPO：IC载板龙头 递表前夕分红28亿元	【신주 보기】군책테크놀로지의 홍콩 IPO:	23	원제번역과상이
321599	광둥 샹루 텅스텐, 6월 대폭 상승한 구매 가격 발표	29	钨价重新走强，推高芯片关键材料六氟化钨价格	텅스텐 가격이 다시 강세를 보이면서	19	길이초과(29>24), 원제번역과상이
321592	탄산리튬 가격 4.44% 급등	16	6月12日投资避雷针：中巨芯、昊华科技等六氟化钨概念股密集提示风险	6월 12일 투자 피뢰침: 중쥐신	18	원제번역과상이
320436	하이더 등 5개 회사, 누적 벌금 6천만 위안 초과	28	十天内5家A股公司被罚，累计罚款超6000万，有公司因“藏利润”被ST15711小时前	열흘 내에 5개의 A주 회사가 벌금	19	길이초과(28>24), 원제번역과상이
320207	쑤저우, 면적 제한 폐지로 주택 교체 증가 예상	26	多城跟进推动住房“以旧换新”，楼市置换链条加速打通35分钟前	부동산 시장 교체 체인 가속화 35분 전	22	길이초과(26>24), 원제번역과상이
319401	중커우주, 블루애로우항공, IPO 계획	21	SpaceX上市引爆商业航天赛道！国内头部企业竞逐IPO	중커우주, 블루애로우항공	13	원제번역과상이
319047	진거신재 북경거래소 상장	13	国内市占率前三，导热填料领域“小巨人”今日上市丨打新早知道	중국 시장점유율 3위…열전도 충전재 분야	22	원제번역과상이
320306	수카이 주식 49.22억 위안 매출 돌파	22	首开股份董事长李岩辞职 宇树科技概念光环难掩业绩承压	수카이 주식회사의 이사장 리옌 사임	19	원제번역과상이
320430	중국 태양광 수요 536GW, 생산능력 1100GW 초과	31	光伏股一日狂欢背后：强制标准传闻虚实几何？	중국 태양광 수요 536GW	15	길이초과(31>24), 원제번역과상이
319511	M2 초과 팽창의 배경과 중국 경제 성장 동력 변화	28	李迅雷：M2超常扩张背后，中国经济驱动力变化1小时前	M2 초과 팽창의 배경과 중국 경제 성장	22	길이초과(28>24), 원제번역과상이
319956	과창(科创)50 상승 마감에도 시장 혼조…AI 원자재 상승주 강세 vs 로봇·AI 응용주 급락	52	【焦点复盘】科创50缩量收涨0.62%，AI上游涨价概念多点开花，机器人、物理AI板块遭重挫	【초점 복기】과창50은 거래량 축소	19	길이초과(52>24), 원제번역과상이
319373	한국 투자자, 중국 반도체·로봇·AI ETF 집중 매수…‘중국 하드테크’ 재평가 흐름	47	韩国投资者持续加码中国硬科技，增持资产曝光	한국투자자, 중국 하드테크 지속 증자 자산	23	길이초과(47>24), 원제번역과상이
